Title:,Missouri Resident Deaths ,
Data selected in addition to rows and columns below:,None,,
Year: ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,Total for selection , ,
Statistics: ,Count ,Count ,Count ,Count ,Count ,Count ,Count ,Count , ,
County , , , , , , , , , ,
Adair ,212 ,209 ,244 ,213 ,247 ,241 ,290 ,1656 , ,
Andrew ,162 ,178 ,155 ,159 ,172 ,219 ,193 ,1238 , ,
Atchison ,81 ,74 ,70 ,71 ,87 ,95 ,95 ,573 , ,
Audrain ,298 ,299 ,328 ,310 ,314 ,389 ,330 ,2268 , ,
Barry ,426 ,439 ,439 ,455 ,413 ,523 ,501 ,3196 , ,
Barton ,159 ,138 ,141 ,122 ,153 ,155 ,171 ,1039 , ,
Bates ,208 ,209 ,229 ,185 ,217 ,225 ,245 ,1518 , ,
Benton ,306 ,297 ,309 ,326 ,317 ,367 ,364 ,2286 , ,
Bollinger ,130 ,142 ,158 ,144 ,118 ,186 ,162 ,1040 , ,
Boone ,1050 ,1039 ,1084 ,1237 ,1204 ,1401 ,1392 ,8407 , ,
Buchanan ,948 ,897 ,987 ,957 ,924 ,1131 ,1117 ,6961 , ,
Butler ,628 ,509 ,585 ,608 ,568 ,688 ,708 ,4294 , ,
Caldwell ,94 ,99 ,103 ,117 ,105 ,120 ,135 ,773 , ,
Callaway ,397 ,399 ,399 ,458 ,424 ,519 ,501 ,3097 , ,
Camden ,492 ,496 ,469 ,539 ,518 ,646 ,664 ,3824 , ,
Cape Girardeau ,774 ,863 ,767 ,820 ,837 ,1079 ,928 ,6068 , ,
Carroll ,107 ,117 ,114 ,121 ,107 ,139 ,111 ,816 , ,
Carter ,83 ,86 ,81 ,92 ,87 ,92 ,102 ,623 , ,
Cass ,883 ,932 ,1002 ,1029 ,1016 ,1119 ,1258 ,7239 , ,
Cedar ,225 ,214 ,192 ,222 ,223 ,187 ,236 ,1499 , ,
Chariton ,98 ,88 ,97 ,96 ,93 ,133 ,118 ,723 , ,
Christian ,676 ,596 ,700 ,684 ,734 ,855 ,948 ,5193 , ,
Clark ,90 ,86 ,71 ,81 ,77 ,99 ,102 ,606 , ,
Clay ,1811 ,1703 ,1820 ,1852 ,1898 ,2217 ,2245 ,13546 , ,
Clinton ,254 ,250 ,267 ,261 ,231 ,313 ,246 ,1822 , ,
Cole ,645 ,680 ,624 ,711 ,716 ,882 ,779 ,5037 , ,
Cooper ,190 ,213 ,187 ,200 ,185 ,203 ,227 ,1405 , ,
Crawford ,287 ,324 ,319 ,315 ,322 ,361 ,387 ,2315 , ,
Dade ,104 ,107 ,101 ,116 ,116 ,135 ,119 ,798 , ,
Dallas ,201 ,205 ,201 ,213 ,214 ,305 ,302 ,1641 , ,
Daviess ,102 ,96 ,83 ,85 ,84 ,112 ,107 ,669 , ,
DeKalb ,114 ,116 ,133 ,160 ,102 ,157 ,131 ,913 , ,
Dent ,195 ,213 ,191 ,174 ,227 ,268 ,269 ,1537 , ,
Douglas ,179 ,183 ,176 ,206 ,180 ,205 ,229 ,1358 , ,
Dunklin ,425 ,423 ,459 ,473 ,414 ,558 ,519 ,3271 , ,
Franklin ,1021 ,1055 ,1004 ,1072 ,1147 ,1279 ,1334 ,7912 , ,
Gasconade ,215 ,194 ,221 ,212 ,226 ,271 ,248 ,1587 , ,
Gentry ,75 ,92 ,104 ,96 ,87 ,108 ,105 ,667 , ,
Greene ,2859 ,2875 ,2975 ,2954 ,2999 ,3417 ,3581 ,21660 , ,
Grundy ,155 ,139 ,112 ,127 ,125 ,152 ,152 ,962 , ,
Harrison ,115 ,119 ,127 ,109 ,106 ,123 ,110 ,809 , ,
Henry ,335 ,282 ,297 ,301 ,308 ,363 ,340 ,2226 , ,
Hickory ,158 ,153 ,151 ,152 ,146 ,161 ,199 ,1120 , ,
Holt ,67 ,57 ,56 ,54 ,59 ,72 ,83 ,448 , ,
Howard ,94 ,100 ,118 ,116 ,106 ,109 ,143 ,786 , ,
Howell ,535 ,494 ,501 ,530 ,546 ,638 ,640 ,3884 , ,
Iron ,162 ,146 ,165 ,143 ,157 ,185 ,189 ,1147 , ,
Jackson ,6320 ,6142 ,6476 ,6366 ,6467 ,7537 ,7850 ,47158 , ,
Jasper ,1108 ,1197 ,1289 ,1262 ,1238 ,1506 ,1543 ,9143 , ,
Jefferson ,1980 ,2070 ,2147 ,2181 ,2175 ,2469 ,2527 ,15549 , ,
Johnson ,448 ,442 ,400 ,398 ,420 ,494 ,562 ,3164 , ,
Knox ,47 ,50 ,37 ,56 ,39 ,49 ,67 ,345 , ,
Laclede ,412 ,425 ,447 ,459 ,462 ,496 ,564 ,3265 , ,
Lafayette ,399 ,393 ,405 ,413 ,384 ,460 ,470 ,2924 , ,
Lawrence ,442 ,479 ,498 ,515 ,498 ,546 ,580 ,3558 , ,
Lewis ,129 ,121 ,124 ,123 ,108 ,126 ,155 ,886 , ,
Lincoln ,504 ,502 ,487 ,502 ,522 ,562 ,607 ,3686 , ,
Linn ,185 ,173 ,177 ,184 ,151 ,194 ,186 ,1250 , ,
Livingston ,197 ,202 ,173 ,165 ,186 ,201 ,220 ,1344 , ,
Macon ,203 ,183 ,197 ,215 ,212 ,268 ,227 ,1505 , ,
Madison ,175 ,164 ,179 ,176 ,148 ,210 ,217 ,1269 , ,
Maries ,101 ,106 ,107 ,94 ,113 ,152 ,134 ,807 , ,
Marion ,343 ,340 ,354 ,341 ,347 ,374 ,396 ,2495 , ,
McDonald ,236 ,227 ,254 ,244 ,250 ,307 ,303 ,1821 , ,
Mercer ,43 ,51 ,41 ,54 ,36 ,70 ,52 ,347 , ,
Miller ,317 ,266 ,286 ,294 ,297 ,347 ,366 ,2173 , ,
Mississippi ,156 ,170 ,189 ,196 ,175 ,219 ,221 ,1326 , ,
Moniteau ,141 ,152 ,142 ,175 ,149 ,199 ,174 ,1132 , ,
Monroe ,98 ,106 ,101 ,103 ,114 ,127 ,122 ,771 , ,
Montgomery ,154 ,163 ,194 ,150 ,193 ,195 ,185 ,1234 , ,
Morgan ,283 ,336 ,265 ,312 ,287 ,338 ,327 ,2148 , ,
New Madrid ,226 ,249 ,239 ,273 ,250 ,337 ,300 ,1874 , ,
Newton ,648 ,642 ,664 ,694 ,661 ,747 ,818 ,4874 , ,
Nodaway ,200 ,186 ,199 ,213 ,178 ,201 ,168 ,1345 , ,
Oregon ,151 ,151 ,145 ,159 ,133 ,165 ,179 ,1083 , ,
Osage ,123 ,122 ,141 ,147 ,136 ,145 ,165 ,979 , ,
Ozark ,119 ,129 ,133 ,139 ,111 ,160 ,187 ,978 , ,
